,Species,"(0, 'go', 'reviewed')","(1, 'automatic', 'reviewed')","(1, 'manual', 'reviewed')"
677,Streptoalloteichus tenebrarius,6,0,0
678,Streptococcus acidominimus,1,0,0
679,Streptococcus agalactiae,966,368,0
680,Streptococcus alactolyticus,1,0,0
681,Streptococcus anginosus,3,0,0
682,Streptococcus canis,2,0,0
683,Streptococcus constellatus,2,0,0
684,Streptococcus criceti,1,0,0
685,Streptococcus cristatus,1,0,0
686,Streptococcus downei,7,0,0
687,Streptococcus dysgalactiae,12,2,0
688,Streptococcus equi,594,284,0
689,Streptococcus equinus,9,0,0
690,Streptococcus gallolyticus,3,0,0
691,Streptococcus gordonii,294,116,0
692,Streptococcus iniae,3,0,0
693,Streptococcus intermedius,4,0,0
694,Streptococcus macedonicus,2,0,0
695,Streptococcus mitis,13,0,0
696,Streptococcus mutans,401,120,1
697,Streptococcus oralis,11,0,0
698,Streptococcus parasanguinis,11,0,0
699,Streptococcus pneumoniae,3076,1200,27
700,Streptococcus porcinus,1,0,0
701,Streptococcus pyogenes,3455,1440,0
702,Streptococcus ratti,2,0,0
703,Streptococcus salivarius,23,0,0
704,Streptococcus sanguinis,272,114,0
705,Streptococcus sp.,3,0,0
706,Streptococcus suis,393,182,0
707,Streptococcus thermophilus,824,370,0
708,Streptococcus uberis,223,102,0
709,Streptococcus vestibularis,1,0,0
710,Streptomyces achromogenes,4,0,0
711,Streptomyces acrimycini,1,0,0
712,Streptomyces actuosus,1,2,1
713,Streptomyces akiyoshiensis,1,0,0
714,Streptomyces albogriseolus,2,0,0
715,Streptomyces alboniger,3,0,0
716,Streptomyces albus,16,0,0
717,Streptomyces ambofaciens,16,0,0
718,Streptomyces antibioticus,24,6,0
719,Streptomyces antifibrinolyticus,1,0,0
720,Streptomyces anulatus,13,0,0
721,Streptomyces arenae,9,0,0
722,Streptomyces argillaceus,1,0,0
723,Streptomyces atratus,1,0,0
724,Streptomyces atroolivaceus,1,0,0
725,Streptomyces avermitilis,450,122,0
726,Streptomyces avidinii,1,0,0
727,Streptomyces azureus,3,2,0
728,Streptomyces badius,1,0,0
729,Streptomyces bikiniensis,4,2,0
730,Streptomyces bingchenggensis,7,0,0
731,Streptomyces cacaoi,8,0,0
732,Streptomyces caespitosus,3,0,0
733,Streptomyces carbophilus,1,0,0
734,Streptomyces carzinostaticus,6,0,0
735,Streptomyces cellulosae,1,0,0
736,Streptomyces chartreusis,2,0,0
737,Streptomyces chromofuscus,1,0,0
738,Streptomyces cinnamoneus,2,0,0
739,Streptomyces clavuligerus,38,0,0
740,Streptomyces coelicolor,751,100,27
741,Streptomyces coeruleorubidus,6,0,0
742,Streptomyces coerulescens,1,0,0
743,Streptomyces collinus,6,2,0
744,Streptomyces corchorusii,1,0,0
745,Streptomyces cremeus,5,0,0
746,Streptomyces cyaneus,7,0,0
747,Streptomyces cyanogenus,1,0,0
748,Streptomyces cyslabdanicus,2,0,0
749,Streptomyces davaonensis,5,0,0
750,Streptomyces diastaticus,1,0,0
751,Streptomyces diastatochromogenes,1,0,0
752,Streptomyces eurocidicus,1,0,0
753,Streptomyces exfoliatus,11,0,0
754,Streptomyces filamentosus,3,4,0
755,Streptomyces fimbriatus,2,0,0
756,Streptomyces fradiae,43,2,0
757,Streptomyces galbus,7,2,0
758,Streptomyces galilaeus,5,0,0
759,Streptomyces glaucescens,20,0,0
760,Streptomyces globisporus,8,0,0
761,Streptomyces granaticolor,1,0,0
762,Streptomyces griseoincarnatus,1,0,0
763,Streptomyces griseolus,4,0,0
764,Streptomyces griseoluteus,1,0,0
765,Streptomyces griseosporeus,2,0,0
766,Streptomyces griseoverticillatus,2,0,0
767,Streptomyces griseoviridis,2,0,0
768,Streptomyces griseus,315,110,0
769,Streptomyces halstedii,9,0,0
770,Streptomyces hygroscopicus,28,0,0
771,Streptomyces jumonjinensis,1,0,0
772,Streptomyces kanamyceticus,9,0,0
773,Streptomyces kasugaensis,2,0,0
774,Streptomyces lasalocidi,4,0,0
775,Streptomyces laurentii,2,2,0
776,Streptomyces lavendulae,19,4,0
777,Streptomyces limosus,2,0,0
778,Streptomyces lincolnensis,5,0,0
779,Streptomyces lividans,85,10,0
780,Streptomyces lividus,4,0,0
781,Streptomyces longisporus,1,0,0
782,Streptomyces luteoverticillatus,1,0,0
783,Streptomyces macromomyceticus,1,0,0
784,Streptomyces malayensis,1,0,0
785,Streptomyces malaysiensis,1,0,0
786,Streptomyces melanosporofaciens,3,0,0
787,Streptomyces microflavus,1,0,0
788,Streptomyces mobaraensis,7,0,0
789,Streptomyces morookaense,2,0,0
790,Streptomyces muensis,1,0,0
791,Streptomyces murinus,1,0,0
792,Streptomyces mycarofaciens,2,0,0
793,Streptomyces netropsis,1,0,0
794,Streptomyces nigrescens,1,0,0
795,Streptomyces niveus,23,0,0
796,Streptomyces nodosus,3,0,0
797,Streptomyces nogalater,4,0,0
798,Streptomyces noursei,5,0,0
799,Streptomyces olivaceoviridis,6,0,0
800,Streptomyces olivaceus,5,0,0
801,Streptomyces olivochromogenes,1,0,0
802,Streptomyces orinoci,1,0,0
803,Streptomyces paromomycinus,4,0,0
804,Streptomyces peucetius,20,0,0
805,Streptomyces platensis,3,0,0
806,Streptomyces plicatus,2,0,0
807,Streptomyces pratensis,1,0,0
808,Streptomyces pristinaespiralis,10,0,0
809,Streptomyces purpurascens,3,0,0
810,Streptomyces ramocissimus,5,0,0
811,Streptomyces rapamycinicus,2,0,0
812,Streptomyces reticuli,3,0,0
813,Streptomyces ribosidificus,4,0,0
814,Streptomyces rimosus,14,0,0
815,Streptomyces rishiriensis,1,0,0
816,Streptomyces rochei,4,0,0
817,Streptomyces roseochromogenus,2,0,0
818,Streptomyces rubellomurinus,1,0,0
819,Streptomyces rubiginosus,2,0,0
820,Streptomyces rubradiris,1,0,0
821,Streptomyces rugosporus,3,0,0
822,Streptomyces sahachiroi,3,0,0
823,Streptomyces scabiei,12,2,0
824,Streptomyces seoulensis,1,0,0
825,Streptomyces sp,22,0,0
826,Streptomyces sp.,43,4,0
827,Streptomyces spectabilis,1,0,0
828,Streptomyces tacrolimicus,1,0,0
829,Streptomyces tendae,2,0,0
830,Streptomyces thermocyaneoviolaceus,1,0,0
831,Streptomyces thermotolerans,1,2,0
832,Streptomyces thermoviolaceus,1,0,0
833,Streptomyces thioluteus,1,0,0
834,Streptomyces toxytricini,1,0,0
835,Streptomyces toyocaensis,5,0,0
836,Streptomyces triostinicus,1,0,0
837,Streptomyces tsukubensis,1,0,0
838,Streptomyces venezuelae,23,0,0
839,Streptomyces vinaceus,3,0,0
840,Streptomyces violaceoruber,9,2,0
841,Streptomyces violaceus,6,0,0
842,Streptomyces violaceusniger,3,0,0
843,Streptomyces violens,1,0,0
844,Streptomyces virginiae,20,6,0
845,Streptomyces viridifaciens,3,0,0
846,Streptomyces viridochromogenes,15,2,0
847,Streptomyces viridosporus,4,0,0
848,Streptomyces wedmorensis,4,0,0
849,Streptosporangium roseum,13,2,0
850,Streptosporangium sibiricum,2,0,0
851,Sulfoacidibacillus thermotolerans,0,2,0
852,Sulfobacillus thermosulfidooxidans,1,0,0
853,Symbiobacterium sp.,1,0,0
854,Symbiobacterium thermophilum,310,126,0
855,Synechococcus elongatus,466,106,0
856,Synechococcus sp,2,0,0
857,Synechococcus sp.,2595,854,0
858,Synechocystis sp.,1020,132,32
859,Syntrophomonas palmitatica,0,2,0
860,Syntrophomonas wolfei,215,108,0
861,Terrabacter sp.,1,0,0
862,Tetragenococcus halophilus,8,0,0
863,Thermacetogenium phaeum,1,0,0
864,Thermasporomyces composti,1,0,0
865,Thermoactinomyces intermedius,2,0,0
866,Thermoactinomyces vulgaris,5,0,0
867,Thermoanaerobacter brockii,6,0,0
868,Thermoanaerobacter ethanolicus,1,0,0
869,Thermoanaerobacter italicus,1,0,0
870,Thermoanaerobacter kivui,1,0,0
871,Thermoanaerobacter pseudethanolicus,235,110,0
872,Thermoanaerobacter sp,1,0,0
873,Thermoanaerobacter sp.,231,110,0
874,Thermoanaerobacter thermohydrosulfuricus,1,0,0
875,Thermoanaerobacterium saccharolyticum,7,0,0
876,Thermoanaerobacterium sp,1,0,0
877,Thermoanaerobacterium thermosaccharolyticum,14,0,0
878,Thermoanaerobacterium thermosulfurigenes,8,0,0
879,Thermobaculum terrenum,4,0,0
880,Thermobifida alba,2,0,0
881,Thermobifida cellulosilytica,2,0,0
882,Thermobifida fusca,245,112,0
883,Thermobispora bispora,6,0,0
884,Thermoclostridium stercorarium,7,0,0
885,Thermoleophilum album,1,0,0
886,Thermomicrobium roseum,93,52,0
887,Thermomonospora curvata,19,0,0
888,Thermosediminibacter oceani,3,0,0
889,Thermostichus lividus,3,0,0
890,Thermostichus vulcanus,45,0,0
891,Thermosynechococcus vestitus,441,114,0
892,Thermus aquaticus,35,24,0
893,Thermus brockianus,3,2,0
894,Thermus caldophilus,7,0,0
895,Thermus filiformis,3,2,0
896,Thermus oshimai,1,2,0
897,Thermus scotoductus,4,2,0
898,Thermus sp,2,0,0
899,Thermus sp.,4,0,0
900,Thermus thermophilus,708,356,5
901,Tissierella creatinophila,1,0,0
902,Tolypothrix scytonemoides,1,0,0
903,Tomato big,1,4,0
904,Tractidigestivibacter scatoligenes,2,0,0
905,Trichodesmium erythraeum,302,88,0
906,Trichodesmium thiebautii,2,0,0
907,Trichormus azollae,6,0,0
908,Trichormus variabilis,411,108,0
909,Tropheryma whipplei,326,200,0
910,Truepera radiovictrix,1,0,0
911,Tsukamurella paurometabola,7,0,0
912,Tsukamurella tyrosinosolvens,1,0,0
913,Ureaplasma parvum,318,208,0
914,Ureaplasma urealyticum,95,88,0
915,Ureibacillus thermosphaericus,1,0,0
916,Veillonella parvula,7,0,0
917,Virgibacillus halodenitrificans,2,0,0
918,Virgibacillus pantothenticus,4,0,0
919,Virgibacillus salexigens,1,0,0
920,Weissella confusa,2,0,0
921,Weissella hellenica,1,0,0
922,Weissella koreensis,2,0,0
923,Weissella oryzae,1,0,0
924,Weissella paramesenteroides,4,0,0
925,Weissella viridescens,1,0,0
926,Xylanimonas cellulosilytica,8,0,0
927,Ziziphus jujuba,0,2,0
