0,1
4.375138,-3.9795702
-5.371124,5.1178827
3.0560977,-2.7044966
-4.0779457,3.9460123
4.0896697,-3.689882
-5.952843,5.6568747
4.3532763,-3.9417632
-5.4181223,5.1911354
3.9702647,-3.6157844
-4.955741,4.7587347
4.1152377,-3.696481
4.3399262,-3.9809797
3.8287475,-3.4888813
1.6518366,-1.3881435
3.55851,-3.187123
3.7466395,-3.3398821
0.58789253,-0.4343683
3.401875,-3.073506
-5.018023,4.8370657
2.0772545,-1.8236552
-4.718455,4.5301666
-5.1091566,4.8946753
-5.6880927,5.4085093
-5.6380544,5.3713207
-5.675887,5.4308987
4.176612,-3.752971
3.4097548,-3.0836468
1.8954191,-1.6990051
-5.9089217,5.6286354
1.3190907,-1.1381233
-0.21571966,0.3022315
-6.1703115,5.8856115
-4.798082,4.57508
3.4890838,-3.1343756
2.6764195,-2.3670647
-4.659364,4.4502993
3.7702587,-3.3855965
-4.6580043,4.496194
3.2363975,-2.9571497
-5.7159305,5.476839
3.4548473,-3.1666741
0.09207751,0.023737505
3.88618,-3.5173047
-5.0221725,4.8146486
4.468886,-4.0583124
-6.0443964,5.7643948
-1.0081599,1.0863848
-4.9488015,4.79708
2.614411,-2.3867927
-5.307593,5.102109
4.3983016,-4.0222006
-5.845729,5.5681286
-4.6833405,4.475548
-6.0225663,5.750456
-0.66742146,0.7841347
3.7649605,-3.4384494
2.7858553,-2.5079901
2.8453534,-2.5806406
-5.4674916,5.217312
-2.2765095,2.202809
-4.403193,4.256399
-2.625398,2.57709
4.039827,-3.6492145
1.7463999,-1.5296245
-4.951695,4.746131
3.2531755,-2.9252536
